Latitude,Longitude,Depth(m)
47.137108711597,-122.553417588331,27.25
47.1370658038409,-122.553462502327,26.13
47.1370228960501,-122.553516399123,26.19
47.1369861179159,-122.553570295919,26.08
47.1369615991456,-122.553660123912,26.00
47.1369677288392,-122.553723003507,25.96
47.1369922476067,-122.553785883102,26.06
47.1370228960501,-122.553848762697,26.04
47.1370596741587,-122.553911642292,26.06
47.1370841928835,-122.553974521887,26.11
47.137108711597,-122.554037401482,26.13
47.1371393599728,-122.554100281077,26.19
47.1371700083308,-122.554172143471,26.17
47.1372006566711,-122.554235023066,26.13
47.1372313049936,-122.554297902661,26.28
47.1372680829571,-122.554360782256,26.25
47.1372987312405,-122.554423661851,26.27
47.1373109905489,-122.554495524245,26.34
47.1373355091571,-122.55456738664,27.10
47.137360027754,-122.554639249034,26.28
47.1373845463394,-122.554711111428,26.89
47.1374090649135,-122.554773991023,27.50
47.1374335834762,-122.554845853418,26.47
47.1374642316637,-122.554908733013,26.44
47.1374887502008,-122.554980595407,26.49
47.1375132687265,-122.555052457801,26.55
47.1375439168677,-122.555115337396,26.57
47.1375684353679,-122.55518719979,26.57
47.1375929538566,-122.555250079385,26.61
47.1376236019516,-122.55532194178,26.65
47.1376481204148,-122.555393804174,26.70
47.1376726388666,-122.555456683769,26.91
47.1377032869153,-122.555528546163,26.23
47.1377278053415,-122.555600408558,25.71
47.1377461941537,-122.555672270952,25.37
47.13777071256,-122.555771081744,25.01
47.1377891013573,-122.555842944138,24.95
47.1378136197437,-122.555914806533,25.01
47.1378381381187,-122.555986668927,24.91
47.1378626564823,-122.556058531321,24.80
47.1378871748346,-122.556121410916,24.50
47.1379116931754,-122.556193273311,24.38
47.1379362115049,-122.556265135705,24.08
